"Story","Title","Result","Date","Stability","Duration (s)"
"Create Account","An invalid email","SUCCESS","2021-04-10T10:22:34.738-05:00[America/Bogota]","0.0","26.63"
"Create Account","An invalid email to create an Account","SUCCESS","2021-04-10T10:43:11.3-05:00[America/Bogota]","0.0","20.99"
"Create Account","A valid email to create an Account","SUCCESS","2021-04-10T10:43:32.944-05:00[America/Bogota]","0.0","67.21"
"Forgot password","A valid email id is allowed","SUCCESS","2021-04-09T23:46:42.719-05:00[America/Bogota]","0.0","19.71"
"Login","A valid email and an invalid password","SUCCESS","2021-04-10T10:23:01.912-05:00[America/Bogota]","0.0","22.94"
"Login","An email only","SUCCESS","2021-04-10T10:23:24.849-05:00[America/Bogota]","0.0","22.81"
"Login","A password only","SUCCESS","2021-04-10T10:23:47.663-05:00[America/Bogota]","0.0","21.83"
"Login","An invalid email and a valid password","SUCCESS","2021-04-10T10:24:09.489-05:00[America/Bogota]","0.0","24.98"
"Login","An invalid email and an invalid password","SUCCESS","2021-04-10T10:24:34.469-05:00[America/Bogota]","0.0","23.08"
"Login","A valid email and a valid password","SUCCESS","2021-04-10T10:24:57.546-05:00[America/Bogota]","0.0","26.05"
